Filename,Radius_of_Gyration,Convex_Hull_Volume,Sequence_Entropy,Hydrophobic_Ratio,Charged_Ratio,Polar_Atom_Ratio,Heavy_Atom_Ratio,Average_Phi,Average_Psi,Sequence_Length,Avg_Eccentricity,Max_Eccentricity,Min_Eccentricity,Avg_Closeness,Max_Closeness,Min_Closeness,Avg_Eigenvector,Max_Eigenvector,Min_Eigenvector,Eigenvector_Centrality,K_Core_Number,Assortativity_Coefficient,Path_Length_Mean,Path_Length_Var,Residue_Packing_Density,Atomic_Clashes,Hydrophobic_Patch_Count,Molecular_Weight,Aromaticity,Instability_Index,Isoelectric_Point,GRAVY,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Avg_Packing_Density,Hydrophobic_Clusters,COM_X,COM_Y,COM_Z,Max_Atom_Distance,Num_Atoms,Centroid_X,Centroid_Y,Centroid_Z,Bounding_Box_Volume,Radius_of_Gyration,C_Count,O_Count,N_Count,S_Count,Atom_Count,H_Count,Avg_Distance,Max_Distance,Total_Weight,Density,Average_Phi,Average_Psi,Unique_Residues,Avg_Residue_Mass,Min_CA_Distance,Max_CA_Distance,Shape_Compactness,Num_Residues,Num_Edges,Avg_Degree,Clustering_Coefficient,Betweenness_Centrality,Graph_Density,Z_Spread,Max_Atom_Distance
seq7610@3,15.658,51877.86,3.953,0.398,0.187,0.194,0.512,-1.548,1.393,123,6.424390244,9,5,0.29716693,0.391831525,0.182304038,0.026775006,0.129878141,2.99E-06,0.026774247,18.31219512,0.670996748,3.442189173,1.681179688,33.49756098,38047,717,13194.4168,0.105691057,35.42276423,4.990941048,-0.244715447,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.138211382,0.06504065,0.073170732,0.024390244,0.056910569,131.73,139,6.101,17.666,-0.527,58.476,9055,6.101,17.666,-0.527,117465.76,15.651,2880,950,790,20,9055,4415,20.551,59.771,65948.42,0.542,-1.547901501,1.392700002,20,107.23,0.51,54.52,2.497,123,604,9.821138211,0.562878495,0.02030042,0.080501133,46.09,59.77
seq5375@4,17.09,65217.356,3.948,0.407,0.179,0.193,0.511,-1.585,1.404,123,7.320325203,10,5,0.273044098,0.3659118,0.158206648,0.026424789,0.138504737,3.79E-07,0.02642445,15.9203252,0.708187464,3.774298367,2.342168694,29.32682927,33591,607,13134.4078,0.105691057,30.51626016,5.234155083,-0.178861789,0.097560976,0.016260163,0.056910569,0.040650407,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.081300813,0.024390244,0.056910569,116.36,155,6.911,15.982,3.765,62.569,9040,6.911,15.982,3.765,149745.81,17.085,2875,935,790,20,9040,4420,22.243,62.766,65653.41,0.413,-1.584831504,1.40374203,20,106.75,0.32,59.02,2.358,123,602,9.788617886,0.554665614,0.020054788,0.080234573,50.66,62.77
seq2007@2,15.087,51588.562,3.945,0.407,0.179,0.194,0.512,-1.476,1.393,123,6.193495935,8,5,0.310521296,0.40474621,0.189214176,0.028034662,0.131457243,1.07E-05,0.028033984,19.8,0.654836882,3.291427061,1.506210463,36.28943089,41373,761,13106.3547,0.105691057,31.20650407,5.234155083,-0.198373984,0.105691057,0.016260163,0.056910569,0.040650407,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,143.36,130,7.393,17.863,0.011,55.926,9010,7.393,17.863,0.011,108341.305,15.073,2865,935,790,20,9010,4400,19.808,55.926,65513.15,0.586,-1.475645369,1.392951644,20,106.52,0.39,51.56,2.513,123,607,9.869918699,0.557844922,0.020032758,0.080900973,52.3,55.93
seq140@3,16.396,60315.636,3.942,0.398,0.179,0.194,0.512,-1.502,1.311,123,6.86504065,9,5,0.285025214,0.374847375,0.173839185,0.026827432,0.125310876,3.45E-06,0.026825887,18.40162602,0.668056423,3.605446493,2.017007813,32.96422764,38218,699,13092.3281,0.105691057,29.90325203,5.234155083,-0.216260163,0.097560976,0.016260163,0.056910569,0.040650407,0.024390244,0.130081301,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,128.21,141,8.608,14.729,6.766,62.263,8995,8.608,14.729,6.766,133410.38,16.368,2860,935,790,20,8995,4390,21.407,62.733,65443.02,0.472,-1.502294518,1.310767773,20,106.41,0.29,56.39,2.412,123,593,9.642276423,0.557784718,0.020634171,0.079035053,50.7,62.73
seq106@13,16.466,59419.539,3.951,0.39,0.187,0.195,0.513,-1.511,1.334,123,6.585365854,9,5,0.278110176,0.371895821,0.182249926,0.022883526,0.145550068,9.03E-06,0.022882968,15.69268293,0.727946291,3.677350783,1.866274904,28.96747967,32530,583,13150.3642,0.105691057,33.85691057,4.990941048,-0.259349593,0.089430894,0.016260163,0.056910569,0.048780488,0.024390244,0.130081301,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,113.12,148,5.035,16.842,2.523,56.789,9020,5.035,16.842,2.523,134871.27,16.473,2870,945,790,20,9020,4395,21.664,56.944,65728.16,0.464,-1.510773337,1.334177512,20,106.87,0.33,51.82,2.538,123,613,9.967479675,0.554419788,0.019918204,0.081700653,52.33,56.94
seq2306@2,16.187,55994.184,3.957,0.398,0.187,0.194,0.512,-1.573,1.38,123,7.074796748,9,5,0.286591977,0.384230288,0.164920763,0.028529733,0.111986168,3.23E-06,0.028528359,20.48780488,0.612696115,3.591676912,2.136277081,35.73658537,43288,817,13192.4439,0.105691057,33.24390244,4.990941048,-0.22195122,0.089430894,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.081300813,0.024390244,0.056910569,140.66,128,10.037,13.989,6.963,61.068,9065,10.037,13.989,6.963,129179.95,16.174,2885,945,790,20,9065,4425,21.087,61.068,65938.55,0.496,-1.572654435,1.380485067,20,107.21,0.08,55.43,2.37,123,614,9.983739837,0.552111732,0.019933624,0.081833933,48.63,61.07
seq888@6,16.543,61608.755,3.953,0.39,0.195,0.196,0.513,-1.546,1.358,123,6.718699187,9,5,0.279799052,0.377846154,0.17776491,0.024286627,0.141925112,1.05E-05,0.024285571,15.97560976,0.708784235,3.663163461,1.94937676,29.85691057,33308,616,13116.305,0.097560976,34.7,4.809056282,-0.259349593,0.097560976,0.016260163,0.06504065,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.048780488,116.68,153,8.631,15.679,3.441,62.27,8990,8.631,15.679,3.441,132603.73,16.542,2850,950,790,20,8990,4380,21.69,62.27,65552.84,0.465,-1.545846508,1.357544738,20,106.59,0.4,54.84,2.476,123,614,9.983739837,0.558546041,0.020006323,0.081833933,49.43,62.27
seq2457@2,15.938,50661.076,3.972,0.39,0.187,0.195,0.512,-1.516,1.412,123,6.365853659,9,5,0.28901258,0.386163522,0.191994997,0.024435678,0.132928406,6.47E-05,0.024435114,18.32357724,0.692959679,3.537201401,1.74868612,33.0504065,39010,697,13138.3569,0.097560976,34.46585366,5.230744743,-0.256910569,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.016260163,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.048780488,130.75,130,6.27,17.274,1.527,58.68,9015,6.27,17.274,1.527,122648.82,15.93,2860,940,800,20,9015,4395,20.922,59.225,65668.16,0.512,-1.516068142,1.411986537,20,106.77,0.37,53.22,2.503,123,610,9.918699187,0.562553107,0.019919305,0.081300813,50.86,59.22
seq4817@6,15.932,58086.66,3.959,0.407,0.187,0.193,0.512,-1.596,1.526,123,6.458536585,9,5,0.292132542,0.387381703,0.185891614,0.025822949,0.125691177,4.18E-06,0.025822645,17.26666667,0.706959295,3.503961927,1.709655134,31.66504065,35785,647,13206.4705,0.105691057,33.54390244,4.990941048,-0.204065041,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.081300813,0.024390244,0.056910569,123.61,150,5.096,17.202,4.282,57.601,9080,5.096,17.202,4.282,119535.47,15.908,2890,945,790,20,9080,4435,20.93,57.781,66008.68,0.529,-1.595997848,1.52644131,20,107.33,0.15,53.61,2.521,123,614,9.983739837,0.553767254,0.019790431,0.081833933,51.07,57.78
seq3760@2,17.114,57602.665,3.964,0.398,0.195,0.194,0.513,-1.436,1.318,123,7.092682927,10,5,0.270091205,0.360328638,0.166938554,0.024309648,0.136366449,7.13E-06,0.024308421,17.7804878,0.671026648,3.792943354,2.281104014,31.51869919,38978,704,13236.4535,0.105691057,32.93089431,4.836850548,-0.266666667,0.097560976,0.016260163,0.056910569,0.056910569,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,124.58,134,7.927,15.82,1.925,61.051,9075,7.927,15.82,1.925,131114.23,17.091,2890,955,790,20,9075,4420,22.295,61.312,66153.56,0.49,-1.435754925,1.317777753,20,107.56,0.09,57.22,2.377,123,610,9.918699187,0.544385244,0.019746371,0.081300813,50.1,61.31
seq3302@4,15.321,54566.998,3.943,0.39,0.187,0.195,0.512,-1.609,1.383,123,6.295934959,9,5,0.304298874,0.401569653,0.19362977,0.027219157,0.125781943,1.20E-05,0.027218735,19.08130081,0.682364064,3.363960605,1.578173169,34.7804878,39152,676,13088.2949,0.097560976,36.26585366,4.990941048,-0.237398374,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.138211382,0.06504065,0.073170732,0.024390244,0.048780488,136.14,142,5.918,17.392,1.313,59.21,8985,5.918,17.392,1.313,111979.695,15.303,2845,945,790,20,8985,4385,20.122,59.624,65417.83,0.554,-1.608855862,1.382930385,20,106.37,0.3,53.21,2.521,123,606,9.853658537,0.556063828,0.020056991,0.080767693,52.56,59.62
seq5062@2,16.486,59423.154,3.962,0.398,0.187,0.194,0.512,-1.454,1.421,123,6.717073171,9,5,0.279573876,0.375535168,0.189857761,0.024089622,0.139029696,2.71E-05,0.024088938,15.52682927,0.716468199,3.657505453,1.897508775,29.19349593,32839,611,13148.3914,0.105691057,34.08699187,4.990941048,-0.208130081,0.097560976,0.016260163,0.056910569,0.048780488,0.032520325,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.048780488,114.51,154,9.781,15.448,-0.228,57.096,9030,9.781,15.448,-0.228,129313.62,16.487,2875,940,790,20,9030,4405,21.636,57.797,65718.29,0.498,-1.453738111,1.421243494,20,106.86,0.24,53.83,2.497,123,601,9.772357724,0.554148129,0.02001954,0.080101293,47.37,57.8
seq985@2,14.842,44160.87,3.966,0.39,0.187,0.195,0.512,-1.536,1.405,123,6.108943089,8,4,0.311893916,0.408244681,0.19241617,0.03057895,0.106833161,3.57E-05,0.030578457,24.98536585,0.54694887,3.276071122,1.618482336,42.90243902,55372,1027,13104.3605,0.097560976,36.62520325,4.990941048,-0.210569106,0.097560976,0.024390244,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.048780488,171.3,103,8.694,15.332,8.125,56.449,8985,8.694,15.332,8.125,87886.62,14.82,2845,940,790,25,8985,4385,19.38,56.449,65498.18,0.725,-1.536124122,1.405043553,20,106.5,0.17,51.36,2.409,123,614,9.983739837,0.563668363,0.019897275,0.081833933,42.29,56.45
seq501@10,17.074,61425.735,3.958,0.39,0.187,0.194,0.512,-1.581,1.506,123,7.411382114,10,5,0.273691706,0.36722488,0.150195695,0.024137709,0.137957272,2.03E-07,0.024137194,16.61138211,0.70960647,3.760650407,2.314569793,30.76910569,35766,635,13194.4168,0.105691057,36.50731707,4.990941048,-0.261788618,0.089430894,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.073170732,0.073170732,0.024390244,0.056910569,121.55,146,9.057,14.84,1.176,66.633,9055,9.057,14.84,1.176,150287.34,17.042,2880,950,790,20,9055,4415,22.201,68.032,65948.42,0.414,-1.580601322,1.50583932,20,107.23,0.14,61.52,2.348,123,600,9.756097561,0.556096816,0.020307029,0.079968013,49.29,68.03
seq6219@2,15.72,56757.648,3.95,0.39,0.187,0.195,0.513,-1.597,1.461,123,6.583739837,9,5,0.296281827,0.39844257,0.174630262,0.027021551,0.129739187,3.52E-06,0.027021028,18.49918699,0.67752443,3.464102056,1.76080599,33.89268293,39459,661,13180.3902,0.105691057,33.85691057,4.990941048,-0.262601626,0.089430894,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.138211382,0.06504065,0.073170732,0.024390244,0.056910569,133.91,144,5.344,17.942,0.52,57.885,9040,5.344,17.942,0.52,122574.38,15.698,2875,950,790,20,9040,4405,20.61,58.644,65878.29,0.509,-1.597186957,1.461289878,20,107.12,0.17,55.67,2.472,123,595,9.674796748,0.559677044,0.020637475,0.079301613,55.18,58.64
seq2657@2,15.41,52087.525,3.961,0.39,0.195,0.195,0.513,-1.607,1.469,123,6.375609756,8,5,0.299342807,0.395363812,0.181818182,0.02775035,0.124843243,3.54E-06,0.027748896,19.94471545,0.627656852,3.421349726,1.716323884,36.71382114,44007,798,13222.4269,0.105691057,33.85691057,4.836850548,-0.284552846,0.089430894,0.016260163,0.056910569,0.056910569,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,144.57,129,8.779,16.099,6.174,53.609,9060,8.779,16.099,6.174,104686.86,15.409,2885,955,790,20,9060,4410,20.207,54.565,66083.43,0.619,-1.606851996,1.468569054,20,107.45,0.23,49.15,2.474,123,605,9.837398374,0.558440211,0.020109862,0.080634413,47.92,54.57
seq6283@2,15.601,52917.001,3.958,0.407,0.179,0.195,0.513,-1.38,1.351,123,6.837398374,9,5,0.297003332,0.393842207,0.158533437,0.026580439,0.128897635,4.77E-07,0.026579405,18.46504065,0.668504082,3.451538106,1.769422877,34.05365854,38100,749,13167.4145,0.105691057,33.85691057,4.781091499,-0.194308943,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.024390244,0.089430894,0.024390244,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,132.8,135,4.05,18.082,1.841,54.907,9010,4.05,18.082,1.841,109589.914,15.624,2870,945,785,25,9010,4385,20.476,55.356,65808.38,0.567,-1.380079672,1.351056281,20,107,0.35,50.56,2.484,123,608,9.886178862,0.556864744,0.01988626,0.081034253,51.65,55.36
seq288@5,15.22,53466.694,3.944,0.398,0.179,0.195,0.514,-1.462,1.369,123,6.294308943,9,5,0.308805106,0.408788282,0.19062403,0.028282996,0.115789646,1.24E-05,0.028282601,20.35447154,0.646428115,3.31426003,1.586631604,36.76585366,41976,759,13137.3224,0.105691057,35.42276423,4.781091499,-0.215447154,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.024390244,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.073170732,0.073170732,0.024390244,0.056910569,145.02,128,11.689,14.254,4.303,55.69,8995,11.689,14.254,4.303,116722.32,15.204,2865,950,785,20,8995,4375,19.936,55.749,65657.9,0.536,-1.461597767,1.36936967,20,106.76,0.25,52.59,2.46,123,618,10.04878049,0.549403194,0.019862028,0.082367053,50.47,55.75
seq10934@2,14.558,42299.153,3.947,0.398,0.187,0.195,0.513,-1.509,1.329,123,6.063414634,8,5,0.32479436,0.418256131,0.191396509,0.031020272,0.108253771,5.57E-06,0.031019864,24.37073171,0.583525459,3.141981625,1.423619393,42.95284553,51598,929,13192.4042,0.105691057,33.85691057,4.990941048,-0.246341463,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.024390244,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.056910569,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,172.2,112,12.6,13.791,7.68,56.744,9045,12.6,13.791,7.68,93566.9,14.516,2875,945,800,20,9045,4405,19.032,57.206,65938.39,0.676,-1.509186774,1.328621731,20,107.21,0.34,52.27,2.437,123,598,9.723577236,0.557905509,0.02016714,0.079701453,51.69,57.21
